player,position,season,Team,TOI,GF_60,GA_60,GPM_60,xGF_60,xGA_60,xGPM_60,CF_60,CA_60,CPM_60
BLAKE.WHEELER,F,20182019,WPG,1251.12,0.082,0.104,-0.023,0.015,0.103,-0.088,-0.25,-0.05,-0.21
BOBBY.RYAN,F,20172018,OTT,823.8,0.082,0.052,0.03,0.009,0.023,-0.014,1.21,1.27,-0.06
BOBBY.RYAN,F,20182019,OTT,1004.47,-0.084,0.135,-0.22,-0.141,0.047,-0.188,0.35,0.6,-0.26
BOGDAN.KISELEVICH,D,20182019,FLA,445.77,-0.069,-0.015,-0.055,-0.028,-0.038,0.01,-0.22,0.87,-1.09
BO.HORVAT,F,20172018,VAN,936.53,0.176,0.034,0.142,0.123,-0.009,0.132,1.66,-1.41,3.07
BO.HORVAT,F,20182019,VAN,1338.03,0.033,0.021,0.012,0.162,0.024,0.137,3.09,-0.22,3.31
BOONE.JENNER,F,20172018,CBJ,1043.03,0.02,0.005,0.015,0.143,0.008,0.135,-0.29,2.17,-2.46
BOONE.JENNER,F,20182019,CBJ,1052.15,0.03,-0.008,0.039,0.068,0.015,0.054,2.1,0.91,1.19
BOO.NIEVES,F,20172018,NYR,270.17,0.05,-0.074,0.123,0.033,0.028,0.005,0.04,-0.32,0.35
BOO.NIEVES,F,20182019,NYR,388.27,-0.02,0.014,-0.035,-0.049,0.036,-0.085,-3.37,1.9,-5.27
BRAD.HUNT,D,20172018,VGK,635.4,-0.048,0.009,-0.057,-0.101,-0.001,-0.1,-2.1,-0.98,-1.12
BRAD.HUNT,D,20182019,MIN/VGK,517.67,-0.107,-0.113,0.006,0.06,-0.032,0.091,2.29,-1.76,4.05
BRAD.MALONE,F,20172018,EDM,51.33,-0.047,-0.049,0.002,-0.035,-0.094,0.058,-0.44,-1.65,1.21
BRAD.MALONE,F,20182019,EDM,127.17,-0.082,-0.115,0.034,-0.081,-0.099,0.018,-1.34,-0.26,-1.08
BRAD.MARCHAND,F,20172018,BOS,977.88,0.29,0.032,0.258,0.22,0.072,0.148,2.6,-2.21,4.8
BRAD.MARCHAND,F,20182019,BOS,1126.98,0.19,0.073,0.117,0.224,0.129,0.096,3.26,1.41,1.85
BRAD.RICHARDSON,F,20172018,ARI,934.8,-0.17,0.07,-0.239,-0.036,-0.133,0.097,-0.29,-0.53,0.24
BRAD.RICHARDSON,F,20182019,ARI,840.63,-0.03,-0.138,0.108,0.005,-0.165,0.17,1.73,-0.82,2.56
BRADY.KEEPER,D,20182019,FLA,12.67,0.013,-0.016,0.029,-0.007,-0.026,0.02,0.07,-0.12,0.19
BRADY.SKJEI,D,20172018,NYR,1473.35,-0.202,0.09,-0.292,0.143,0.081,0.063,0.12,1.11,-1
